"base_title","title","rating"
Spider-Man,Spider-Man,"9.2"
Spider-Man,Spider-Man: Miles Morales,"8.5"
Spider-Man,Spider-Man 2,"7.8"
Spider-Man,Spider-Man 3,"6.4"
Spider-Man,Spider-Man: Web of Shadows,"7.8"
Spider-Man,The Amazing Spider-Man 2,"5.7"
Spider-Man,Spider-Man: Shattered Dimensions,"7.7"
Spider-Man,Spider-Man: The City That Never Sleeps,"8.2"
Spider-Man,Ultimate Spider-Man,"7.7"
Spider-Man,Spider-Man: Edge of Time,"6.7"
Spider-Man,Spider-Man: Friend or Foe,"6.4"
Spider-Man,Spider-Man 2: The Game,"6.4"
Spider-Man,The Amazing Spider-Man,"7.1"
Spider-Man,Spider-Man Unlimited,"7.2"
Spider-Man,Spider-Man 2 (PSP),"7.2"
Spider-Man,Spider-Man 2: Enter Electro,"7.8"
Spider-Man,Spider-Man: Far from Home: Virtual Reality Experience,"6.3"
Spider-Man,Spider-Man: The Video Game,"7.5"
Spider-Man,Spider-Man & Venom: Maximum Carnage,"7.5"
Spider-Man,Spider-Man and the X-Men: Arcade's Revenge,"5.0"
Spider-Man,Marvel Comics Spider-Man: The Sinister Six,"6.5"
Spider-Man,Spider-Man: Battle for New York,"6.6"
Spider-Man,Spider-Man: Mysterio's Menace,"7.0"
Spider-Man,The Amazing Spider-Man vs. The Kingpin,"7.2"
Spider-Man,Spider-Man vs. the Kingpin,"7.4"
Spider-Man,Spider-Man & Venom: Separation Anxiety,"7.6"
Spider-Man,The Amazing Spider-Man: Lethal Foes,"6.5"
Spider-Man,Spider-Man: Return of the Sinister Six,"5.5"
Spider-Man,The Amazing Spider-Man: Web of Fire,"5.5"
Spider-Man,Spider-Man: Homecoming: Virtual Reality Experience,"5.4"
Spider-Man,Questprobe featuring Spider-Man,"5.7"
Spider-Man,Spider-Man Cartoon Maker,"7.6"
Red Dead Redemption II,Red Dead Redemption II,"9.7"
Grand Theft Auto V,Grand Theft Auto V,"9.5"
God of War,God of War,"9.6"
God of War,God of War III,"9.1"
God of War,God of War II,"9.2"
God of War,God of War: Ghost of Sparta,"8.5"
God of War,God of War: Ascension,"7.8"
God of War,God of War: Chains of Olympus,"8.4"
God of War,God of War: Betrayal,"6.4"
Uncharted 4,Uncharted 4: A Thief's End,"9.5"
The Last of Us,The Last of Us: Part II,"8.5"
The Last of Us,The Last of Us,"9.7"
The Last of Us,The Last of Us: Left Behind,"8.9"
Horizon Forbidden West,Horizon Forbidden West,"9.2"
Detroit,Detroit: Become Human,"9.2"
Death Stranding,Death Stranding,"8.8"
Death Stranding,Death Stranding Director's Cut,"8.9"
Ghost of Tsushima,Ghost of Tsushima,"9.3"
Uncharted,Uncharted 4: A Thief's End,"9.5"
Uncharted,Uncharted: Drake's Fortune,"8.5"
Uncharted,Uncharted: The Nathan Drake Collection,"9.4"
Uncharted,Uncharted 2: Among Thieves,"9.4"
Uncharted,Uncharted: The Lost Legacy,"8.5"
Uncharted,Uncharted 3: Drake's Deception,"9.0"
Uncharted,Uncharted: Legacy of Thieves Collection,"9.4"
Uncharted,Uncharted: Golden Abyss,"8.1"
Uncharted,Uncharted: Fight for Fortune,"5.4"
Uncharted,Uncharted Waters,"7.0"
Batman,Batman: Arkham Knight,"9.0"
Batman,Batman: Arkham City,"9.4"
Batman,Batman: Arkham Asylum,"9.2"
Batman,Batman: Arkham Origins,"8.2"
Batman,Batman Begins,"8.2"
Batman,Batman: The Telltale Series,"8.0"
Batman,Batman: Return to Arkham,"9.2"
Batman,Lego Batman 3: Beyond Gotham,"7.6"
Batman,Batman: The Enemy Within,"8.4"
Batman,Lego Batman: The Videogame,"7.8"
Batman,Lego Batman 2: DC Super Heroes,"8.1"
Batman,Batman: Arkham Origins - Blackgate,"7.2"
Batman,Batman: Arkham City - Catwoman,"8.2"
Batman,Batman: Arkham VR,"7.2"
Batman,Batman: Vengeance,"7.5"
Batman,Batman: Arkham City - Harley Quinn's Revenge,"7.7"
Batman,Batman: Arkham Underworld,"6.6"
Batman,Batman,"7.8"
Batman,Batman: Rise of Sin Tzu,"6.9"
Batman,Batman Forever,"5.2"
Batman,Batman & Robin,"4.6"
Batman,Batman Returns,"7.2"
Batman,Batman: Arkham City Lockdown,"7.2"
Batman,Batman: Dark Tomorrow,"3.9"
Batman,The Adventures of Batman & Robin,"6.4"
Batman,Batman: The Brave and the Bold - The Videogame,"7.2"
Batman,Batman: Chaos in Gotham,"6.7"
Batman,Batman Beyond,"6.6"
Batman,Batman Arkham Origins: Initiation,"7.7"
Batman,Batman: Revenge of the Joker,"6.4"
Batman,Batman Forever: The Arcade Game,"5.9"
Batman,The Adventures of Batman & Robin Cartoon Maker,"6.5"
Batman,Batman: Arkham City Armored Edition,"8.4"
Batman,Batman: The Caped Crusader,"7.3"
Batman,Batman: Arkham Collection,"9.4"
Batman,The Adventures of Batman & Robin Activity Center,"7.1"
Batman,Batman: Gotham City Racer,"6.8"
Grand Theft Auto,Grand Theft Auto V,"9.5"
Grand Theft Auto,Grand Theft Auto: San Andreas,"9.4"
Grand Theft Auto,Grand Theft Auto: Vice City,"9.2"
Grand Theft Auto,Grand Theft Auto IV,"8.9"
Grand Theft Auto,Grand Theft Auto III,"8.7"
Grand Theft Auto,Grand Theft Auto: Vice City Stories,"8.4"
Grand Theft Auto,Grand Theft Auto IV: The Ballad of Gay Tony,"8.6"
Grand Theft Auto,Grand Theft Auto,"7.8"
Grand Theft Auto,Grand Theft Auto: Liberty City Stories,"7.9"
Grand Theft Auto,Grand Theft Auto Online,"6.7"
Grand Theft Auto,Grand Theft Auto 2,"7.5"
Grand Theft Auto,Grand Theft Auto IV: The Lost and Damned,"8.2"
Grand Theft Auto,Grand Theft Auto: The Trilogy - The Definitive Edition,"3.7"
Grand Theft Auto,Grand Theft Auto Advance,"5.7"
Grand Theft Auto,Grand Theft Auto: Episodes from Liberty City,"8.4"
Grand Theft Auto,Grand Theft Auto: Chinatown Wars,"7.4"
Grand Theft Auto,"Grand Theft Auto: London, 1969","7.0"
Grand Theft Auto,"Grand Theft Auto: London, 1961","7.1"
Grand Theft Auto,Grand Theft Auto: The Trilogy,"8.4"
MultiVersus,MultiVersus,"7.8"
Star Wars Jedi,Star Wars Jedi: Fallen Order,"8.5"
Elden Ring,Elden Ring,"9.5"
Assassin's Creed Valhalla,Assassin's Creed Valhalla,"8.1"
Marvel's Guardians of the Galaxy,Marvel's Guardians of the Galaxy,"8.7"
Uncharted 2,Uncharted 2: Among Thieves,"9.4"
The Witcher 3,The Witcher 3: Wild Hunt,"9.7"
The Witcher 3,The Witcher 3: Wild Hunt - Blood and Wine,"9.7"
The Witcher 3,The Witcher 3: Wild Hunt - Hearts of Stone,"9.5"
Fallout,Fallout: New Vegas,"8.9"
Fallout,Fallout 4,"8.6"
Fallout,Fallout 3,"9.1"
Fallout,Fallout 76,"4.0"
Fallout,Fallout: A Post-Nuclear Role-Playing Game,"9.2"
Fallout,Fallout 2: A Post-Nuclear Role-Playing Game,"9.4"
Fallout,Fallout: The Frontier,"4.1"
Fallout,Fallout Tactics: Brotherhood of Steel,"7.4"
Fallout,Fallout: New Vegas - Honest Hearts,"7.5"
Fallout,Fallout 4: New Vegas,"6.2"
Fallout,Fallout: Brotherhood of Steel,"5.5"
Fallout,Fallout: New Vegas - Old World Blues,"8.3"
Fallout,Fallout Legacy Collection,"5.8"
Fallout,Fallout 4: Far Harbor,"8.0"
Fallout,Fallout: New Vegas - Dead Money,"7.3"
Fallout,Fallout 4: Fusion City Rising,"7.9"
Fallout,Fallout: New California,"6.4"
Fallout,Fallout: New Vegas - Lonesome Road,"7.7"
Fallout,Fallout 3: Point Lookout,"8.0"
