"base_title","version_count"
Star Wars,103
Final Fantasy,77
Sonic,76
Ultima,74
Lost,74
Pokémon,72
Alien,63
Star Trek,60
Assassin,43
Dragon Ball,40
Resident Evil,38
Zombi,37
Marvel,37
Hell,37
Call of Duty,37
Batman,37
Nancy Drew,36
Mega Man,36
Raid,34
Max,34
Curse,34
Fallout,33
Eve,33
Creed,33
Street Fighter,32
Spider-Man,32
Operation,32
Mission,32
Kirby,32
Journey,32
Beyond,32
Naruto,31
Assassin's Creed,31
Zelda,30
Dragon Ball Z,30
Crash,30
Donkey Kong,29
Castlevania,29
Anima,29
Fate,28
Destiny,28
Ride,27
Nights,27
Final Fantasy X,27
Rain,26
Rage,26
Doom,26
Warhammer,25
The Legend of Zelda,25
Metro,25
Metal Gear,25
Squad,24
Mario Bros.,24
King of Fighters,23
Jurassic,23
Bomberman,23
Universe,22
Shadows,22
Rogue,22
Pirates,22
Pac-Man,22
Lord of the Rings,22
Turtles,21
The Elder Scrolls,21
Puzzle,21
Power Rangers,21
Need for Speed,21
Mortal Kombat,21
Might and Magic,21
Elite,21
Dynasty Warriors,21
Contra,21
Command & Conquer,21
Battlefield,21
Vampire,20
The King of Fighters,20
Teenage Mutant Ninja Turtles,20
Super Mario Bros.,20
Shin Megami Tensei,20
Human,20
Champions,20
Wario,19
The Sims,19
Mass Effect,19
Kingdom Hearts,19
Hype,19
Harry Potter,19
Grand Theft Auto,19
Burn,19
Angry Birds,19
Transformers,18
The Lord of the Rings,18
Sniper,18
Pain,18
Off,18
Jurassic Park,18
Halo,18
Fire Emblem,18
Yu-Gi-Oh!,17
The Simpsons,17
Metal Gear Solid,17
Mario Party,17
Immortal,17
Edge,17
Dragon Quest,17
Dragon Age,17
Dead or Alive,17
Arms,17
Aliens,17
Yakuza,16
X-Men,16
Warcraft,16
Terminator,16
Predator,16
Medal of Honor,16
Far Cry,16
Dreams,16
"Warhammer 40,000",15
Total War,15
Tetris,15
Spyro,15
Shatter,15
Rayman,15
Ratchet,15
Paradise,15
Metroid,15
Frontier,15
Final Fantasy XI,15
Doctor Who,15
Dinosaur,15
Commando,15
Brave,15
Worms,14
Tomb Raider,14
Tekken,14
Stories,14
SpongeBob SquarePants,14
Sonic the Hedgehog,14
Silver,14
Sacred,14
Ratchet & Clank,14
Mario Kart,14
Ghost Recon,14
Armored Core,14
Yoshi,13
The Walk,13
Sherlock,13
Phoenix,13
Naruto Shippûden,13
Myth,13
Mafia,13
Leisure Suit Larry,13
Just Dance,13
Gundam,13
Devil May Cry,13
Barbie,13
Atlantis,13
"007",13
Thief,12
The Walking Dead,12
Showdown,12
Scooby-Doo,12
Sam and Max,12
Republic,12
Rampage,12
Rainbow Six,12
One Piece,12
Ninja Gaiden,12
Link,12
Lake,12
King's Quest,12
Haunt,12
Half-Life,12
Duke Nukem,12
Defender,12
Conflict,12
Army Men,12
Wolfenstein,11
Unreal,11
Tiny Toon Adventures,11
Street Fighter II,11
Silent Hill,11
Sherlock Holmes,11
Rocket,11
Resistance,11
Prince of Persia,11
Phantasy Star,11
Monster Hunter,11
Metal Slug,11
MechWarrior,11
Hitman,11
Echo,11
Dungeons & Dragons,11
Dracula,11
Dark Souls,11
Crash Bandicoot,11
Control,11
Avengers,11
Ace Combat,11
Wipeout,10
Viking,10
Uncharted,10
Space Invaders,10
Sonic R,10
Snake,10
Skyrim,10
R-Type,10
Mega Man X,10
Mafia II,10
Labyrinth,10
Judgment,10
Heroes of Might and Magic,10
Ghosts,10
Final Fantasy V,10
Deus Ex,10
Crusader,10
Cobra,10
Bugs Bunny,10
Blitz,10
Back to the Future,10
Apocalypse,10
World of Warcraft,9
Virtua Fighter,9
The Legend of Heroes,9
Star Fox,9
Soulcalibur,9
Samurai Warriors,9
Saints Row,9
Postal,9
Oni,9
Mind,9
Legion,9
James Bond,9
Guilty Gear,9
Godzilla,9
Ghostbusters,9
Five Nights at Freddy's,9
Final Fantasy XV,9
Final Fantasy VI,9
Fatal Fury,9
Fallout 4,9
Fable,9
EverQuest,9
Dusk,9
Deception,9
Cube Escape,9
